Date,SPY,QQQ,IEF,LQD,GLD
2022-03-11,395.251862,315.578369,95.900764,99.956123,185.089996
2022-03-14,392.36322,309.517761,94.686432,98.508904,182.300003
2022-03-15,400.991455,319.226318,94.643051,99.28241,178.889999
2022-03-16,409.883148,331.065369,94.512924,100.13076,180.009995
2022-03-17,415.0112,335.073395,94.330772,101.112198,180.889999
2022-03-18,419.556671,341.931671,94.608337,101.311806,179.300003
2022-03-21,419.434021,340.980988,93.37661,99.906204,180.669998
2022-03-22,424.34198,347.682251,92.864822,99.664993,179.360001
2022-03-23,418.877136,342.685486,93.489388,99.947777,181.809998
2022-03-24,425.191467,350.302277,92.968948,99.989365,183.130005
2022-03-25,427.267883,350.010132,92.014793,99.199226,182.380005
2022-03-28,430.307098,355.425568,92.222939,99.748154,179.059998
2022-03-29,435.630341,361.542389,92.682678,100.588219,179.139999
2022-03-30,432.94046,357.548889,93.046997,100.821098,180.580002
2022-03-31,426.276917,353.117218,93.220474,100.588219,180.649994
2022-04-01,427.485046,352.445221,92.613503,100.925774,179.5
2022-04-04,431.147034,359.701508,92.552689,101.27581,180.369995
2022-04-05,425.701111,351.71463,91.449806,99.500496,179.240005
2022-04-06,421.444366,344.078369,91.12851,98.917084,179.660004
2022-04-07,423.568054,344.896484,90.902733,98.458679,180.339996
2022-04-08,422.435516,340.075195,90.44252,97.683487,181.470001
2022-04-11,415.215088,332.029877,90.008308,96.733383,182.369995
2022-04-12,413.676605,330.627319,90.44252,96.800034,183.770004
2022-04-13,418.414703,337.347992,90.642235,97.30011,184.649994
2022-04-14,413.20462,329.63382,89.825943,96.166618,184.039993
2022-04-18,413.374573,329.887085,89.565453,95.433151,184.610001
2022-04-19,420.047455,337.260315,88.974945,94.674683,181.820007
2022-04-20,419.736023,332.341614,89.669655,95.658173,182.710007
2022-04-21,413.459503,325.465057,89.174667,94.64135,182.059998
2022-04-22,402.114502,316.942444,89.218086,94.532982,180.289993
2022-04-25,404.445801,321.013855,89.791222,95.58316,177.050003
2022-04-26,392.732727,308.897186,90.390411,95.533188,177.320007
2022-04-27,393.837006,308.527039,89.886749,94.616333,175.979996
2022-04-28,403.785126,319.484619,89.756493,94.89975,176.929993
2022-04-29,388.863007,305.108276,89.27887,93.849525,176.910004
2022-05-02,391.203674,310.202393,88.613739,93.293198,173.630005
2022-05-03,392.996979,310.533539,88.718063,93.894638,174.089996
2022-05-04,404.964966,321.033356,89.291901,94.813553,175.800003
2022-05-05,390.571289,304.864807,88.396408,93.359993,175.130005
2022-05-06,388.240021,301.212311,87.89209,92.566422,175.419998
2022-05-09,375.809601,289.426758,88.544174,92.892227,172.880005
2022-05-10,376.677979,292.942902,88.839798,93.284843,171.419998
2022-05-11,370.694061,284.254669,89.387527,93.7192,172.820007
2022-05-12,370.307068,283.582642,89.683151,93.761002,170.169998
2022-05-13,379.160339,294.092255,89.213661,93.268112,168.789993
2022-05-16,377.621796,290.683197,89.587486,93.393433,170.399994
2022-05-17,385.389618,298.212311,88.909348,92.858788,169.330002
2022-05-18,369.854065,283.572998,89.544044,93.201294,169.419998
2022-05-19,367.588806,282.053558,89.865738,93.451889,171.910004
2022-05-20,367.749268,281.176941,90.283043,93.911369,172.029999
2022-05-23,374.629883,285.852142,89.735298,93.577225,172.830002
2022-05-24,371.77002,279.774323,90.509117,94.805183,174.130005
2022-05-25,375.054626,283.68988,90.691719,95.782562,173.080002
2022-05-26,382.548645,291.55011,90.648224,95.807632,172.759995
2022-05-27,391.939941,301.066162,90.778648,96.308838,172.850006
2022-05-31,389.740784,300.267426,89.830948,95.59877,171.139999
2022-06-01,386.588318,298.046722,89.325203,95.041122,172.229996
2022-06-02,393.950287,306.208954,89.455765,95.082993,174.350006
2022-06-03,387.484894,298.241547,89.281654,94.781502,172.580002
2022-06-06,388.664764,299.235016,88.611359,94.111618,171.820007
2022-06-07,392.392944,301.816162,88.9683,94.614044,172.940002
2022-06-08,388.12674,299.644135,88.637474,94.069748,172.779999
2022-06-09,378.896057,291.618317,88.55912,93.450089,172.229996
2022-06-10,367.909607,281.332703,87.688591,92.545761,174.539993
2022-06-13,353.940796,268.251801,86.130341,90.410454,169.929993
2022-06-14,352.874237,268.7388,85.442619,89.941551,168.570007
2022-06-15,357.904999,275.449707,86.635254,91.348312,170.770004
